Country,Life Satisfaction,Healthy Life Expect.,Access to Energy,Social Support,Democratic Quality,Employment,CO2 Emissions,Phosphorus,Nitrogen,eHANPP,Ecological Footprint,Material Footprint
Nepal,0.25,0.76,0.79,0.73,0.4,1.13,0.17,0.67,0.9,0.45,0.51,0.28
Netherlands,1.3,1.23,1.06,1.06,1.18,1.06,8.22,4.54,5.98,1.08,2.59,3.62
New Zealand,1.19,1.23,1.06,1.09,1.24,0.98,5.46,17.36,5.39,1.6,2.97,3.52
Nicaragua,0.69,1.0,0.81,0.83,0.59,0.93,0.63,0.44,0.48,1.21,0.78,0.72
Niger,0.45,0.39,0.09,0.86,0.52,1.04,0.07,0.15,0.21,2.7,0.98,0.53
Pakistan,0.65,0.71,0.98,0.35,0.11,1.04,0.61,0.74,1.51,0.24,0.4,0.53
Panama,1.21,1.08,0.95,0.96,0.81,1.06,2.27,1.7,1.59,3.19,1.52,1.73
Paraguay,0.77,0.91,1.04,0.95,0.6,1.07,1.01,1.28,0.81,1.9,2.42,1.72
Peru,0.83,0.98,0.96,0.76,0.62,1.08,1.4,0.63,0.73,1.29,1.2,1.41
Philippines,0.58,0.79,0.92,0.81,0.49,0.96,0.68,0.36,0.38,0.68,0.58,0.61
Poland,0.76,1.07,1.06,1.01,1.08,0.86,5.75,5.99,8.35,1.01,2.23,2.74
Portugal,0.64,1.21,1.06,0.93,1.04,0.74,4.75,5.5,5.42,1.1,1.94,3.58
Romania,0.59,1.06,1.06,0.75,0.82,0.94,3.56,2.13,4.47,1.1,1.45,2.45
Russia,0.69,0.87,1.06,0.97,0.42,0.98,6.52,3.09,4.83,1.49,2.59,1.11
Rwanda,0.33,0.56,0.13,0.45,0.49,1.21,0.12,0.32,0.55,0.78,0.48,0.27
Saudi Arabia,1.06,0.98,1.03,0.88,0.34,1.01,10.38,3.84,2.97,0.26,2.33,1.95
Senegal,0.25,0.6,0.57,0.5,0.63,0.83,0.39,0.17,0.19,0.81,0.59,0.49
Sierra Leone,0.44,0.0,0.09,0.8,0.66,1.1,0.21,0.19,0.31,1.11,0.67,0.31
Singapore,1.02,1.37,1.06,1.01,0.92,1.12,19.19,7.33,6.84,1.33,3.45,9.75
Slovak Republic,0.84,1.07,1.06,1.03,1.06,0.7,7.47,5.24,9.05,0.9,2.2,4.68
Slovenia,0.87,1.19,1.06,1.05,1.07,0.91,6.59,4.22,5.09,1.59,2.63,3.58
South Africa,0.56,0.36,0.89,0.93,0.83,0.26,4.7,1.59,1.35,0.9,1.43,1.43
Spain,1.01,1.31,1.06,1.07,0.92,0.38,5.66,6.8,6.65,1.06,1.98,3.57
Sri Lanka,0.35,0.96,0.93,0.9,0.52,1.07,0.65,0.17,0.21,0.56,0.68,0.45
Swaziland,0.54,0.12,0.4,0.89,0.44,0.34,2.04,1.24,1.3,1.0,1.17,1.24
Sweden,1.25,1.26,1.06,1.03,1.22,0.93,6.35,6.35,10.68,1.79,3.78,3.46
Syrian Arab Republic,0.31,1.0,1.01,0.46,0.09,0.78,1.71,1.27,0.75,0.42,0.85,0.59
Tajikistan,0.37,0.78,1.06,0.75,0.34,0.79,0.54,0.28,0.53,0.38,0.47,0.35
Tanzania,0.32,0.48,0.1,0.97,0.69,1.1,0.18,0.04,0.05,1.14,0.69,0.21
Thailand,1.05,1.0,1.06,0.97,0.47,1.21,2.85,1.4,1.27,0.99,1.12,1.09
Togo,0.0,0.37,0.28,0.0,0.54,0.96,0.23,0.15,0.21,0.9,0.57,0.3
Trinidad and Tobago,1.01,0.84,1.05,0.94,0.84,1.05,7.89,1.75,1.82,1.08,3.47,1.71
Tunisia,0.54,1.0,1.06,0.69,0.6,0.52,1.7,1.14,0.96,0.67,1.02,1.24
Turkey,0.66,0.99,1.06,0.65,0.54,0.85,4.08,4.09,4.42,0.69,1.55,1.61
Turkmenistan,0.8,0.74,1.06,1.11,0.4,0.81,6.96,1.24,2.57,1.13,2.43,2.08
Uganda,0.53,0.43,0.13,0.97,0.47,1.07,0.15,0.04,0.05,1.35,0.72,0.33
Ukraine,0.6,0.92,1.06,0.93,0.69,0.93,3.54,1.53,3.29,0.96,1.63,1.22
United Arab Emirates,1.17,1.1,1.03,0.97,0.73,1.07,14.51,2.94,3.19,0.65,4.73,7.63
United Kingdom,1.1,1.22,1.06,1.08,1.01,0.93,7.48,5.86,8.19,0.92,2.41,3.39
United States,1.17,1.17,1.06,1.04,1.02,0.88,13.14,7.82,6.63,1.42,3.93,3.78
Uruguay,1.02,1.1,1.05,0.99,1.08,0.99,2.97,6.88,3.01,2.04,2.38,2.68
Uzbekistan,0.79,0.82,1.06,1.04,0.28,0.8,2.72,1.42,3.51,0.55,1.09,0.7
Venezuela,1.02,0.98,1.06,1.05,0.38,0.91,3.04,1.31,1.21,1.72,1.52,1.57
Vietnam,0.79,1.02,1.05,1.0,0.52,1.16,1.35,0.84,0.88,0.73,0.79,0.92
Yemen,0.23,0.55,0.47,0.6,0.08,0.54,0.56,0.1,0.18,0.15,0.46,0.3
Zambia,0.58,0.36,0.18,0.94,0.78,0.72,0.26,0.13,0.19,1.19,0.49,0.58
